TransactionID,Items
1,"Honey,Yogurt"
2,"Bread,Butter,Eggs,Jam,Pasta"
3,"Coffee,Milk,Sugar"
4,"Honey,Yogurt"
5,"Bread,Cheese,Milk,Pasta"
6,"Biscuits,Sugar,Tea"
7,"Bread,Cheese"
8,"Butter,Eggs,Yogurt"
9,"Biscuits,Eggs,Honey,Tea,Yogurt"
10,"Cereal,Honey,Milk"
11,"Cereal,Juice,Yogurt"
12,"Butter,Cheese,Coffee,Milk"
13,"Biscuits,Milk,Pasta,Sugar,Tea"
14,"Coffee,Milk"
15,"Biscuits,Bread,Butter,Cheese"
16,"Cereal,Juice"
17,"Cheese,Coffee,Milk,Pasta,Sugar"
18,"Butter,Eggs,Honey,Juice,Milk"
19,"Biscuits,Bread,Cheese,Eggs"
20,"Cheese,Pasta"
21,"Bread,Butter,Cereal,Jam"
22,"Cereal,Honey,Milk"
23,"Biscuits,Sugar,Tea"
24,"Coffee,Juice,Milk,Tea"
25,"Bread,Butter,Jam"
26,"Bread,Butter,Juice"
27,"Cereal,Honey,Milk"
28,"Bread,Cheese,Sugar"
29,"Butter,Cheese,Pasta"
30,"Biscuits,Cheese,Juice,Tea,Yogurt"
31,"Butter,Eggs,Juice"
32,"Bread,Butter"
33,"Biscuits,Sugar,Tea"
34,"Cereal,Cheese,Coffee,Juice"
35,"Butter,Eggs,Milk,Pasta"
36,"Bread,Cheese,Eggs,Juice"
37,"Biscuits,Juice,Pasta,Tea"
38,"Butter,Coffee,Eggs,Milk,Sugar"
39,"Biscuits,Cheese,Pasta,Yogurt"
40,"Butter,Coffee,Eggs,Jam,Milk"
41,"Bread,Butter,Cereal,Eggs,Milk"
42,"Butter,Eggs,Juice,Milk"
43,"Biscuits,Coffee,Milk,Sugar"
44,"Cheese,Coffee,Milk,Pasta,Sugar"
45,"Bread,Butter,Jam"
46,"Cereal,Honey,Juice,Yogurt"
47,"Bread,Butter"
48,"Bread,Butter,Cereal,Honey,Milk,Tea"
49,"Cereal,Cheese,Pasta,Sugar"
50,"Coffee,Milk,Sugar"
51,"Honey,Juice,Yogurt"
52,"Butter,Eggs"
53,"Bread,Butter,Sugar"
54,"Cereal,Juice"
55,"Bread,Cheese,Tea"
56,"Butter,Eggs,Honey,Milk,Pasta"
57,"Bread,Cereal,Eggs,Juice"
58,"Biscuits,Sugar,Tea"
59,"Butter,Cereal,Eggs,Honey,Milk"
60,"Butter,Eggs"
61,"Butter,Cheese,Honey,Sugar,Yogurt"
62,"Butter,Cereal,Eggs,Sugar"
63,"Cheese,Pasta,Yogurt"
64,"Cereal,Honey,Jam,Juice,Milk,Pasta"
65,"Biscuits,Eggs,Honey,Milk,Tea"
66,"Biscuits,Bread,Butter,Eggs,Milk"
67,"Biscuits,Butter,Eggs"
68,"Biscuits,Sugar,Tea"
69,"Butter,Eggs,Milk"
70,"Biscuits,Sugar,Tea"
71,"Bread,Butter,Jam,Milk,Sugar"
72,"Biscuits,Juice,Sugar,Tea"
73,"Biscuits,Sugar,Tea,Yogurt"
74,"Bread,Cereal,Cheese,Eggs,Tea"
75,"Cereal,Eggs,Honey,Juice,Milk"
76,"Coffee,Honey,Jam,Yogurt"
77,"Biscuits,Tea"
78,"Honey,Yogurt"
79,"Bread,Butter,Cereal,Jam,Yogurt"
80,"Butter,Eggs,Milk"
81,"Biscuits,Butter,Coffee,Pasta,Sugar,Tea"
82,"Cereal,Eggs,Honey,Milk"
83,"Biscuits,Tea"
84,"Bread,Butter,Jam"
85,"Butter,Eggs,Milk"
86,"Coffee,Eggs,Milk,Tea"
87,"Bread,Butter,Coffee,Jam"
88,"Bread,Butter,Cereal,Cheese,Honey,Jam"
89,"Biscuits,Coffee,Tea,Yogurt"
90,"Butter,Cheese,Eggs,Pasta"
91,"Biscuits,Sugar,Tea"
92,"Bread,Cheese"
93,"Bread,Cheese,Pasta"
94,"Bread,Cheese,Honey,Pasta,Sugar"
95,"Coffee,Milk,Sugar"
96,"Butter,Eggs"
97,"Coffee,Milk,Sugar"
98,"Bread,Cheese"
99,"Coffee,Honey,Yogurt"
100,"Biscuits,Butter,Eggs,Milk"
101,"Bread,Cheese"
102,"Bread,Cheese"
103,"Cheese,Coffee,Milk,Pasta"
104,"Biscuits,Cheese,Eggs,Sugar,Tea"
105,"Coffee,Juice,Milk"
106,"Honey,Jam,Tea,Yogurt"
